competitor,product_id,price,scrape_ts,event_date
GrocerX,P100000,1.49,2025-08-12T15:17:30,2025-08-12
MarketHub,P100000,1.27,2025-08-12T05:43:32,2025-08-12
ValueFoods,P100000,1.40,2025-08-12T13:43:02,2025-08-12
GrocerX,P100001,5.76,2025-08-12T04:13:56,2025-08-12
MarketHub,P100001,5.66,2025-08-12T01:38:01,2025-08-12
ValueFoods,P100001,5.00,2025-08-12T21:18:56,2025-08-12
UrbanMart,P100001,4.26,2025-08-12T03:23:17,2025-08-12
GrocerX,P100002,9.99,2025-08-12T15:57:40,2025-08-12
ValueFoods,P100002,9.03,2025-08-12T04:37:42,2025-08-12
UrbanMart,P100002,5.21,2025-08-12T07:34:59,2025-08-12
GrocerX,P100003,6.19,2025-08-12T01:48:07,2025-08-12
MarketHub,P100003,8.56,2025-08-12T21:00:27,2025-08-12
ValueFoods,P100003,8.43,2025-08-12T14:28:29,2025-08-12
UrbanMart,P100003,8.79,2025-08-12T23:40:25,2025-08-12
MarketHub,P100004,10.18,2025-08-12T04:55:09,2025-08-12
ValueFoods,P100004,,2025-08-12T12:12:16,2025-08-12
UrbanMart,P100004,7.50,2025-08-12T22:07:35,2025-08-12
GrocerX,P100005,10.03,2025-08-12T12:28:26,2025-08-12
MarketHub,P100005,6.02,2025-08-12T11:59:16,2025-08-12
ValueFoods,P100005,3.51,2025-08-12T22:05:53,2025-08-12
GrocerX,P100006,4.13,2025-08-12T14:04:55,2025-08-12
MarketHub,P100006,3.69,2025-08-12T13:14:47,2025-08-12
ValueFoods,P100006,4.54,2025-08-12T05:21:05,2025-08-12
UrbanMart,P100006,4.72,2025-08-12T13:04:58,2025-08-12
GrocerX,P100007,6.17,2025-08-12T06:30:58,2025-08-12
UrbanMart,P100007,7.28,2025-08-12T09:46:45,2025-08-12
GrocerX,P100008,4.38,2025-08-12T21:12:21,2025-08-12
MarketHub,P100008,2.93,2025-08-12T04:21:38,2025-08-12
ValueFoods,P100008,4.13,2025-08-12T07:29:08,2025-08-12
