competitor,product_id,price,scrape_ts,event_date
GrocerX,P100000,1.30,2025-08-28T08:18:14,2025-08-28
MarketHub,P100000,1.26,2025-08-28T04:03:58,2025-08-28
ValueFoods,P100000,1.52,2025-08-28T09:25:08,2025-08-28
UrbanMart,P100000,1.30,2025-08-28T00:19:18,2025-08-28
GrocerX,P100001,6.09,2025-08-28T18:42:19,2025-08-28
MarketHub,P100001,5.26,2025-08-28T03:26:32,2025-08-28
UrbanMart,P100001,3.30,2025-08-28T13:53:04,2025-08-28
GrocerX,P100002,12.11,2025-08-28T05:47:34,2025-08-28
MarketHub,P100002,9.40,2025-08-28T17:09:09,2025-08-28
ValueFoods,P100002,11.42,2025-08-28T19:22:55,2025-08-28
UrbanMart,P100002,11.56,2025-08-28T16:55:35,2025-08-28
MarketHub,P100003,6.08,2025-08-28T02:04:41,2025-08-28
UrbanMart,P100003,9.88,2025-08-28T13:32:24,2025-08-28
MarketHub,P100004,10.96,2025-08-28T10:42:59,2025-08-28
ValueFoods,P100004,11.48,2025-08-28T18:09:38,2025-08-28
GrocerX,P100005,7.76,2025-08-28T22:23:30,2025-08-28
MarketHub,P100005,8.82,2025-08-28T01:59:30,2025-08-28
GrocerX,P100006,3.94,2025-08-28T03:50:24,2025-08-28
MarketHub,P100006,3.10,2025-08-28T14:08:57,2025-08-28
UrbanMart,P100006,4.78,2025-08-28T21:54:03,2025-08-28
GrocerX,P100007,8.16,2025-08-28T13:05:59,2025-08-28
MarketHub,P100007,6.43,2025-08-28T20:06:50,2025-08-28
ValueFoods,P100007,8.04,2025-08-28T01:26:52,2025-08-28
UrbanMart,P100007,5.69,2025-08-28T06:23:34,2025-08-28
GrocerX,P100008,4.45,2025-08-28T16:21:36,2025-08-28
MarketHub,P100008,3.75,2025-08-28T02:39:46,2025-08-28
ValueFoods,P100008,4.15,2025-08-28T15:26:10,2025-08-28
GrocerX,P100009,3.17,2025-08-28T04:45:29,2025-08-28
MarketHub,P100009,3.30,2025-08-28T05:38:06,2025-08-28
ValueFoods,P100009,2.88,2025-08-28T03:28:05,2025-08-28
UrbanMart,P100009,3.15,2025-08-28T18:27:08,2025-08-28
GrocerX,P100010,0.34,2025-08-28T14:59:50,2025-08-28
ValueFoods,P100010,0.57,2025-08-28T14:07:09,2025-08-28
UrbanMart,P100010,0.63,2025-08-28T22:43:48,2025-08-28
GrocerX,P100011,6.68,2025-08-28T22:36:11,2025-08-28
ValueFoods,P100011,5.15,2025-08-28T07:05:56,2025-08-28
UrbanMart,P100011,5.69,2025-08-28T03:07:34,2025-08-28
GrocerX,P100012,9.20,2025-08-28T12:12:51,2025-08-28
MarketHub,P100012,8.53,2025-08-28T18:43:47,2025-08-28
UrbanMart,P100012,9.32,2025-08-28T10:47:19,2025-08-28
GrocerX,P100013,3.20,2025-08-28T04:07:30,2025-08-28
MarketHub,P100013,4.66,2025-08-28T21:52:01,2025-08-28
ValueFoods,P100013,3.69,2025-08-28T18:46:48,2025-08-28
UrbanMart,P100013,3.56,2025-08-28T09:19:31,2025-08-28
GrocerX,P100014,5.54,2025-08-28T19:47:29,2025-08-28
MarketHub,P100014,5.55,2025-08-28T07:36:59,2025-08-28
ValueFoods,P100014,7.59,2025-08-28T00:57:52,2025-08-28
GrocerX,P100015,8.39,2025-08-28T15:22:40,2025-08-28
GrocerX,P100016,0.50,2025-08-28T01:36:10,2025-08-28
MarketHub,P100016,0.51,2025-08-28T14:10:13,2025-08-28
ValueFoods,P100016,0.61,2025-08-28T01:34:58,2025-08-28
UrbanMart,P100016,0.54,2025-08-28T18:32:40,2025-08-28
GrocerX,P100017,5.86,2025-08-28T13:14:23,2025-08-28
MarketHub,P100017,5.81,2025-08-28T22:56:11,2025-08-28
ValueFoods,P100017,7.78,2025-08-28T15:40:08,2025-08-28
UrbanMart,P100017,5.54,2025-08-28T15:11:27,2025-08-28
GrocerX,P100018,5.32,2025-08-28T02:01:39,2025-08-28
MarketHub,P100018,5.06,2025-08-28T02:28:55,2025-08-28
ValueFoods,P100018,6.15,2025-08-28T17:50:13,2025-08-28
UrbanMart,P100018,3.75,2025-08-28T11:43:46,2025-08-28
GrocerX,P100019,3.40,2025-08-28T23:35:33,2025-08-28
MarketHub,P100019,4.31,2025-08-28T11:27:24,2025-08-28
ValueFoods,P100019,4.07,2025-08-28T15:18:16,2025-08-28
UrbanMart,P100019,3.69,2025-08-28T13:37:46,2025-08-28
GrocerX,P100020,5.37,2025-08-28T22:44:03,2025-08-28
MarketHub,P100020,3.60,2025-08-28T02:30:17,2025-08-28
ValueFoods,P100020,4.43,2025-08-28T15:15:25,2025-08-28
GrocerX,P100021,3.60,2025-08-28T23:20:23,2025-08-28
MarketHub,P100021,2.51,2025-08-28T11:27:51,2025-08-28
ValueFoods,P100021,2.45,2025-08-28T20:09:00,2025-08-28
UrbanMart,P100021,2.84,2025-08-28T10:59:34,2025-08-28
GrocerX,P100022,6.57,2025-08-28T11:02:54,2025-08-28
UrbanMart,P100022,5.64,2025-08-28T12:52:57,2025-08-28
ValueFoods,P100023,6.41,2025-08-28T15:56:32,2025-08-28
UrbanMart,P100023,10.19,2025-08-28T02:56:03,2025-08-28
GrocerX,P100024,0.47,2025-08-28T09:55:36,2025-08-28
MarketHub,P100024,0.30,2025-08-28T05:51:37,2025-08-28
UrbanMart,P100024,0.28,2025-08-28T05:42:35,2025-08-28
GrocerX,P100025,8.94,2025-08-28T18:27:16,2025-08-28
MarketHub,P100025,9.55,2025-08-28T18:52:05,2025-08-28
ValueFoods,P100025,10.77,2025-08-28T11:55:47,2025-08-28
UrbanMart,P100025,9.06,2025-08-28T23:21:08,2025-08-28
GrocerX,P100026,13.44,2025-08-28T13:18:19,2025-08-28
MarketHub,P100026,9.68,2025-08-28T07:29:20,2025-08-28
ValueFoods,P100026,12.96,2025-08-28T20:42:26,2025-08-28
GrocerX,P100027,3.05,2025-08-28T11:00:56,2025-08-28
MarketHub,P100027,2.56,2025-08-28T09:41:28,2025-08-28
ValueFoods,P100027,2.49,2025-08-28T04:59:02,2025-08-28
UrbanMart,P100027,3.41,2025-08-28T19:09:57,2025-08-28
GrocerX,P100028,0.57,2025-08-28T17:12:05,2025-08-28
MarketHub,P100028,0.43,2025-08-28T10:31:00,2025-08-28
ValueFoods,P100028,0.42,2025-08-28T03:18:55,2025-08-28
GrocerX,P100029,0.52,2025-08-28T17:09:49,2025-08-28
MarketHub,P100029,0.42,2025-08-28T21:41:26,2025-08-28
ValueFoods,P100029,0.60,2025-08-28T00:30:33,2025-08-28
GrocerX,P100030,5.23,2025-08-28T09:10:37,2025-08-28
MarketHub,P100030,5.19,2025-08-28T17:07:37,2025-08-28
ValueFoods,P100030,4.09,2025-08-28T01:57:30,2025-08-28
GrocerX,P100031,12.49,2025-08-28T03:45:38,2025-08-28
MarketHub,P100031,11.43,2025-08-28T21:36:00,2025-08-28
UrbanMart,P100031,14.86,2025-08-28T15:28:11,2025-08-28
GrocerX,P100032,7.57,2025-08-28T06:18:57,2025-08-28
MarketHub,P100032,4.75,2025-08-28T02:09:09,2025-08-28
ValueFoods,P100032,8.70,2025-08-28T03:00:16,2025-08-28
ValueFoods,P100033,9.63,2025-08-28T19:03:26,2025-08-28
UrbanMart,P100033,4.66,2025-08-28T19:40:46,2025-08-28
MarketHub,P100034,6.73,2025-08-28T13:55:43,2025-08-28
ValueFoods,P100034,3.81,2025-08-28T11:41:41,2025-08-28
UrbanMart,P100034,6.40,2025-08-28T22:43:28,2025-08-28
GrocerX,P100035,4.35,2025-08-28T21:25:24,2025-08-28
MarketHub,P100035,5.89,2025-08-28T23:57:20,2025-08-28
ValueFoods,P100035,5.24,2025-08-28T10:44:35,2025-08-28
UrbanMart,P100035,4.04,,2025-08-28
GrocerX,P100036,4.30,2025-08-28T04:01:07,2025-08-28
ValueFoods,P100036,3.99,2025-08-28T23:57:09,2025-08-28
UrbanMart,P100036,5.21,2025-08-28T07:30:22,2025-08-28
MarketHub,P100037,4.50,2025-08-28T17:30:03,2025-08-28
ValueFoods,P100037,6.99,2025-08-28T22:04:53,2025-08-28
UrbanMart,P100037,5.46,2025-08-28T18:02:29,2025-08-28
GrocerX,P100038,11.30,2025-08-28T16:09:23,2025-08-28
MarketHub,P100038,7.69,2025-08-28T17:54:24,2025-08-28
ValueFoods,P100038,6.40,2025-08-28T13:05:49,2025-08-28
GrocerX,P100039,9.97,2025-08-28T02:00:57,2025-08-28
MarketHub,P100039,8.50,2025-08-28T08:20:33,2025-08-28
ValueFoods,P100039,6.59,2025-08-28T15:05:16,2025-08-28
UrbanMart,P100039,9.65,2025-08-28T07:37:03,2025-08-28
MarketHub,P100040,3.65,2025-08-28T05:47:46,2025-08-28
UrbanMart,P100040,3.96,2025-08-28T02:53:04,2025-08-28
MarketHub,P100041,10.35,2025-08-28T01:49:37,2025-08-28
ValueFoods,P100041,11.13,2025-08-28T11:51:06,2025-08-28
UrbanMart,P100041,7.64,2025-08-28T16:06:47,2025-08-28
MarketHub,P100042,6.66,2025-08-28T20:49:26,2025-08-28
ValueFoods,P100042,9.21,2025-08-28T04:56:28,2025-08-28
